most_altitude,most_location_provider,most_long_1,most_lat_1,Frequency_gps_points,loan_outcome
Low,fused,A,A,70.0,repaid
High,fused,A,A,10.0,defaulted
High,gps,C,B,1.0,defaulted
Low,fused,A,B,2.0,repaid
Low,fused,A,A,9.0,defaulted
Low,fused,D,B,29.0,repaid
Low,network,D,B,274.0,defaulted
Low,gps,A,A,22.0,repaid
Low,fused,D,B,39.0,repaid
Low,fused,A,A,4.0,repaid
Low,fused,A,A,107.0,defaulted
Low,fused,D,B,42.0,repaid
Low,fused,A,A,46.0,repaid
Low,fused,A,A,20.0,repaid
Low,fused,A,A,29.0,repaid
Low,fused,A,B,69.0,defaulted
Low,fused,A,A,84.0,defaulted
High,fused,A,A,4.0,repaid
Low,fused,E,C,2.0,defaulted
Low,fused,A,A,46.0,defaulted
Low,fused,C,B,58.0,repaid
Low,fused,A,A,60.0,repaid
High,fused,A,A,21.0,repaid
Low,fused,C,A,72.0,repaid
Low,fused,C,B,109.0,defaulted
High,gps,A,A,206.0,repaid
High,fused,D,B,619.0,repaid
Low,fused,A,A,77.0,repaid
Low,fused,A,A,23.0,defaulted
Low,fused,D,B,61.0,defaulted
Low,fused,A,A,95.0,repaid
Low,fused,A,A,102.0,repaid
Low,fused,A,A,112.0,repaid
Low,fused,A,A,175.0,repaid
Low,fused,A,A,62.0,repaid
Low,fused,A,A,9.0,defaulted
Low,fused,A,A,2.0,defaulted
Low,fused,E,C,210.0,defaulted
Low,fused,A,A,120.0,defaulted
Low,fused,A,A,130.0,repaid
High,fused,A,A,7.0,defaulted
Low,fused,A,A,40.0,defaulted
Low,network,A,B,100.0,defaulted
Low,fused,D,B,4.0,repaid
Low,fused,F,A,86.0,defaulted
Low,fused,A,B,3.0,defaulted
Low,fused,A,B,21.0,repaid
Low,fused,A,A,163.0,repaid
Low,fused,A,A,69.0,repaid
Low,gps,A,A,16.0,repaid
Low,fused,A,A,14.0,repaid
Low,fused,A,A,98.0,defaulted
Low,fused,D,B,24.0,repaid
High,gps,D,B,36.0,repaid
Low,fused,A,B,25.0,defaulted
Low,fused,C,B,10.0,defaulted
Low,fused,F,A,42.0,repaid
Low,fused,A,A,131.0,defaulted
Low,fused,A,A,4.0,defaulted
Low,fused,A,A,41.0,defaulted
Low,fused,A,A,45.0,defaulted
Low,fused,A,A,24.0,repaid
Low,fused,A,A,30.0,defaulted
Low,network,D,B,24.0,defaulted
Low,fused,A,A,96.0,repaid
Low,fused,A,A,28.0,defaulted
Low,fused,A,A,38.0,defaulted
Low,fused,A,A,13.0,defaulted
Low,fused,F,B,44.0,repaid
Low,fused,E,D,40.0,defaulted
Low,network,A,B,270.0,repaid
Low,fused,C,B,154.0,defaulted
High,fused,A,A,58.0,defaulted
Low,fused,E,C,10.0,repaid
Low,fused,A,A,42.0,defaulted
Low,fused,A,A,28.0,repaid
Low,fused,G,E,229.0,defaulted
Low,network,A,A,76.0,defaulted
High,fused,A,A,5.0,repaid
Low,fused,D,B,46.0,repaid
Low,gps,F,A,9.0,repaid
Low,fused,A,A,7.0,defaulted
Low,fused,F,A,146.0,repaid
Low,fused,A,A,91.0,defaulted
Low,fused,A,A,46.0,repaid
Low,fused,A,A,84.0,repaid
Low,fused,C,B,79.0,repaid
Low,fused,D,A,12.0,defaulted
Low,fused,A,B,494.0,repaid
Low,network,C,B,121.0,repaid
Low,fused,A,A,111.0,repaid
Low,fused,D,B,224.0,repaid
Low,fused,A,A,133.0,repaid
Low,fused,E,D,226.0,repaid
Low,fused,A,A,57.0,defaulted
Low,fused,C,B,172.0,repaid
Low,fused,A,A,22.0,repaid
Low,network,A,A,177.0,defaulted
Low,fused,A,A,7.0,defaulted
Low,fused,D,F,16.0,defaulted
Low,fused,C,B,81.0,repaid
Low,fused,A,A,74.0,repaid
Low,fused,A,A,52.0,defaulted
Low,fused,A,A,5.0,defaulted
High,fused,A,A,81.0,repaid
Low,fused,A,A,15.0,repaid
Low,fused,A,A,47.0,defaulted
Low,fused,A,B,38.0,repaid
Low,fused,C,A,5.0,repaid
Low,fused,E,C,53.0,defaulted
Low,fused,A,A,36.0,defaulted
Low,fused,A,A,42.0,repaid
Low,network,A,A,272.0,repaid
Low,fused,E,C,101.0,repaid
Low,fused,A,A,43.0,repaid
Low,fused,D,B,29.0,defaulted
Low,network,E,D,7.0,repaid
Low,fused,A,B,227.0,repaid
Low,fused,F,A,96.0,repaid
Low,fused,A,A,205.0,defaulted
Low,fused,E,C,28.0,repaid
Low,fused,D,B,48.0,repaid
Low,fused,A,A,127.0,repaid
Low,fused,A,A,74.0,repaid
Low,fused,A,A,21.0,repaid
Low,fused,E,C,86.0,defaulted
Low,fused,A,A,218.0,defaulted
Low,fused,D,B,51.0,defaulted
Low,fused,A,A,24.0,repaid
Low,fused,A,A,159.0,repaid
Low,fused,D,B,60.0,defaulted
Low,fused,A,A,19.0,repaid
Low,fused,D,B,95.0,defaulted
High,gps,A,A,3.0,repaid
Low,fused,C,B,105.0,defaulted
Low,fused,A,A,15.0,repaid
Low,fused,A,A,120.0,defaulted
High,fused,A,A,6.0,repaid
High,fused,F,A,18.0,defaulted
High,gps,A,A,91.0,repaid
Low,fused,A,A,25.0,defaulted
Low,fused,A,B,16.0,repaid
Low,fused,A,A,16.0,defaulted
Low,fused,F,A,29.0,repaid
